angle,x,y,z,xwf
0.0,18.490131176300107,-2.2050761944699464,0.0,-1.0
0.0,18.44780819631764,-2.2450334944997654,0.0,-1.0
0.0,18.405775890832253,-2.2849771648158153,0.0,-1.0
0.0,18.36403179617451,-2.3249071633088825,0.0,-1.0
0.0,18.32257346666621,-2.3648234464467497,0.0,-1.0
0.0,18.281398474552205,-2.404725969285341,0.0,-1.0
0.0,18.2405044099264,-2.444614685480598,0.0,-1.0
0.0,18.19988888065554,-2.4844895473003876,0.0,-1.0
0.0,18.159549512299147,-2.5243505056369835,0.0,-1.0
0.0,18.119483948026588,-2.5641975100197003,0.0,-1.0
0.0,18.079689848530883,-2.6040305086278184,0.0,-1.0
0.0,18.0401648919398,-2.6438494483037656,0.0,-1.0
0.0,18.000906773723404,-2.6836542745664542,0.0,-1.0
0.0,17.961913206600194,-2.723444931624857,0.0,-1.0
0.0,17.923181920438996,-2.7632213623916573,0.0,-1.0
0.0,17.884710662160412,-2.8029835084969794,0.0,-1.0
0.0,17.846497195633738,-2.842731310302273,0.0,-1.0
0.0,17.811864342605904,-2.876666957110928,0.0,-1.0
0.0,17.77414545662055,-2.9163940334730345,0.0,-1.0
0.0,17.736677933040024,-2.956106567749855,0.0,-1.0
0.0,17.69945960077969,-2.9958044959526724,0.0,-1.0
0.0,17.662488305181192,-3.035487752889668,0.0,-1.0
0.0,17.625761907897306,-3.075156272179797,0.0,-1.0
0.0,17.589278286776853,-3.1148099862664984,0.0,-1.0
0.0,17.55626352781061,-3.148706462811419,0.0,-1.0
0.0,17.520245993733305,-3.188338437947299,0.0,-1.0
0.0,17.484465132489454,-3.227955390820841,0.0,-1.0
0.0,17.448918883962854,-3.2675572498670853,0.0,-1.0
0.0,17.416781677162437,-3.301432424105306,0.0,-1.0
0.0,17.38168601753497,-3.3410119275437045,0.0,-1.0
0.0,17.346819044586915,-3.3805761104895438,0.0,-1.0
0.0,17.31217875841249,-3.4201248975483955,0.0,-1.0
0.0,17.280890414715632,-3.453977437590271,0.0,-1.0
0.0,17.24668566566964,-3.4935032341251073,0.0,-1.0
0.0,17.21270184933214,-3.533013398966653,0.0,-1.0
0.0,17.18202887725299,-3.566849729247694,0.0,-1.0
0.0,17.14846966716936,-3.606336414360271,0.0,-1.0
0.0,17.11512576007253,-3.6458072257740444,0.0,-1.0
